job_title,company_name,company_location,company_size,industry_stats,job_qualifications,job_skills,job_skills_1,job_type,work_hours,company_email,job_desc
Python Machine Learning Developer,Demandlane,Indonesia,11-50 employees,Legal Services  11-50 employees   25 on LinkedIn,"AWS Lambda, Amazon Redshift, Amazon Web Services (AWS), Data Science, Machine Learning, Pandas (Software), PyTorch, Python (Programming Language), Tableau, and TensorFlow",1 school alum works here,5+ years of work experience with Machine Learning,Remote,Full-time,demandlane_hrd@gmail.com,"We are looking for a highly skilled and motivated Python Machine Learning Developer to join our dynamic team. This is a remote position based in Indonesia. The ideal candidate will have a proven track record of launching numerous machine learning models into production, be well-versed in Python and AWS tools, and possess strong communication skills."
Computer Aided Design Engineer (U.S.-Based Clients),Eterna Indonesia,Indonesia,51-200 employees,Outsourcing and Offshoring Consulting  51-200 employees   13 on LinkedIn,"3D Modeling, AutoCAD, Computer-Aided Design (CAD), Design Engineering, Revit, SketchUp, Solar PV Design, and Technical Drawing","Skills: SketchUp, AutoCAD, +6 more","3D Modeling, AutoCAD, Computer-Aided Design (CAD), Design Engineering, Revit, SketchUp, Solar PV Design, and Technical Drawing",Remote,Full-time,eterna_indonesia_hrd@gmail.com,"Eterna Indonesia, a Business Process Outsourcing (BPO) company, is looking for a dedicated Computer Aided Design Engineer to support our U.S.-based solar energy clients. As a Computer Aided Design Engineer for U.S. Solar Companies, you will be using CAD equipment to provide support to senior CAD designers and the sales team by preparing routine layouts, detailed drawings, assembly drawings, sketches, and diagrams for PV Solar Systems. In this role, you'll collaborate with sales teams and solar company partners to ensure that all design specifications are met, and projects are executed with precision and efficiency."
"Software Engineer Full-time (AI, Video and Audio Compositor)",Videfly,"Jakarta, Indonesia",2-10 employees,Software Development  2-10 employees   7 on LinkedIn,"Amazon Web Services (AWS), Back-End Web Development, C++, JavaScript, Next.js, Node.js, OpenGL, Python (Programming Language), Software Development, and TypeScript","Skills: TypeScript, OpenGL, +8 more",1+ years of work experience with JavaScript,Remote,Full-time,videfly_hrd@gmail.com,"Software Engineer Full-time (AI, Video and Audio Compositor)"
"Artificial Intelligence Engineer, 2 Hour Learning (Remote) - $100,000/year USD",Crossover,"Surabaya, East Java, Indonesia","5,001-10,000 employees","IT Services and IT Consulting  5,001-10,000 employees   2,665 on LinkedIn","Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, Vue.js","Skills: Svelte, Flask, +8 more","Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, and Vue.js",Remote,Full-time,crossover_hrd@gmail.com,"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, 2 Hour Learning. Have you got what it takes?
Are you a skilled full-stack developer with a passion for AI and a drive to transform K-12 education? At 2 Hour Learning, we're leading a revolution in digital learning backed by data and innovation.
At 2 Hour Learning, we don't just aim to improve education—we're redefining it. Our cutting-edge learning ecosystem, powered by advanced AI, learning science, and psychometrics, is twice as effective as traditional schooling. Students at every level, from kindergarten to high school, are achieving remarkable academic milestones, far surpassing standard expectations."
Junior Platform Engineer,Shuffle Up,Indonesia,11-50 employees,Software Development  11-50 employees   17 on LinkedIn,"Amazon Web Services (AWS), Container Orchestration, Containerization, Continuous Integration and Continuous Delivery (CI/CD), DevOps, Grafana, Infrastructure as code (IaC), Kubernetes, Scripting, Skill Development, and Unconscious Bias Awareness Training","Skills: Continuous Integration and Continuous Delivery (CI/CD), Grafana, +9 more",Conversational in English,Remote,Full-time,shuffle_up_hrd@gmail.com,"This is a full-time remote role for a Junior Platform Engineer at Shuffle Up. As a Junior Platform Engineer, you will be responsible for troubleshooting, software development, infrastructure management, programming, and database management. You will collaborate with a team of engineers to ensure the smooth operation and continuous improvement of our proprietary platform."
Search Engine Optimization Specialist,Flex AI,Indonesia,11-50 employees,"Technology, Information and Internet  11-50 employees   28 on LinkedIn","Campaigns, Job Skills, Keyword Research, Link Building, Off-Page SEO, Online Marketing, Search Engine Optimization (SEO), Search Engines, Strategic Thinking, and Web Analytics","Skills: Keyword Research, Online Marketing, +8 more",Professional in English,Remote,Full-time,flex_ai_hrd@gmail.com,"Flex, the A.I. personal trainer in your pocket, is on a mission to create a healthier world by making fitness fun, free, and effective for everybody, everywhere."
Senior UX Researcher,Flex AI,Indonesia,11-50 employees,"Technology, Information and Internet  11-50 employees   28 on LinkedIn","Business Insights, Communication, Human Computer Interaction, Presentation Skills, Presentations, Product Design, Qualitative & Quantitative Research Methodologies, Quantitative Research, UX Research, and User Experience (UX)","Skills: Quantitative Research, Business Insights, +8 more",Professional in English,Remote,Full-time,flex_ai_hrd@gmail.com,"Flex, an A.I. personal training app, is the fastest way to progress in the gym. We make fitness fun, free, and effective for everyone, everywhere. Since our launch just over 2 years ago, we've grown to nearly 1 million users on iOS and generating revenue. Now, we're looking for a Senior UX Researcher to help us take our user experience to the next level."
Sales for AI Solutions,Teleakses Solusindo,Indonesia,11-50 employees,Information Technology & Services  11-50 employees   28 on LinkedIn,"Account Management, Communication, Customer Satisfaction, Customer Service, Direct Sales, Negotiation, Sales, Sales Management, Sales Operations, and Sales Processes",1 school alum works here,Working in a remote setting,Remote,Contract,teleakses_solusindo_hrd@gmail.com,"This is a remote contract role for Sales for AI Solutions at PT. Teleakses Solusindo. The Sales professional will be responsible for day-to-day tasks such as communication, customer service, sales, training, and sales management in promoting AI solutions to clients."
Growth Marketing Manager,Flex AI,Indonesia,11-50 employees,"Technology, Information and Internet  11-50 employees   28 on LinkedIn","Analytical Skills, Creative Campaign Development, Digital Marketing, Growth Marketing, Interpersonal Skills, Marketing Strategy, and Social Media Marketing","Skills: Analytical Skills, Growth Marketing, +5 more",Professional in English,Remote,Full-time,flex_ai_hrd@gmail.com," Are you ready to flex your marketing muscles and join a team that's changing the game in fitness tech? We're not just looking for a Growth Marketing Manager; we're seeking a digital marketing dynamo to help us take the Flex Fitness App to new heights!. At Flex AI, we're all about making fitness free, fun, and personalized. Our app isn't just another download; it's your user's new AI-powered personal trainer, cheerleader, and workout buddy all rolled into one! Check us out and see the magic:"
GoTo Financial - Data Scientist Intern - Indonesia,GoTo Group,"Jakarta, Jakarta, Indonesia","10,001+ employees","Software Development  10,001+ employees   20,519 on LinkedIn","Data Science, Deep Learning, Engineering Documentation, Machine Learning, Pattern Recognition, Prediction, Predictive Analytics, PyTorch, Statistical Data Analysis, Technical Documentation",3 school alumni work here,"Data Science, Deep Learning, Engineering Documentation, Machine Learning, Pattern Recognition, Prediction, Predictive Analytics, PyTorch, Statistical Data Analysis, and Technical Documentation",On-site,Full-time,goto_group_hrd@gmail.com,"Goto KYC Data Science team builds critical ML components/models which go into the engineering systems which make Goto a safe, trusted and fun way to do payments. Our team members come from varied backgrounds, and bring with them a wide set of skills (mathematics, statistics, machine learning, deep learning etc) which we use some of the toughest business problems in GoPay. We are enthusiastic about both data science techniques and methods, as well as the business impact of our models, and have numerous internal forums where sharing, discussions and presentations by the team members happen.Knowledge of developing Deep Learning/Computer Vision and classic ML models for practical applications. Proficiency in deep learning frameworks such as PyTorch
Strong communication skills to understand business stakeholders' needs and effectively convey analytical results. Ability to write clear and concise technical documentation. Ability to work independently and collaboratively within a team"
